Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water,Wind Speed
2009,1,1,0,0,0,0,0,0,0,0,11,174.46,0.454,3.2
2009,1,1,1,0,0,0,0,0,0,0,10,164.34,0.46,3.3
2009,1,1,2,0,0,0,0,0,0,0,10,151.34,0.469,3.4
2009,1,1,3,0,0,0,0,0,0,0,9,138.17,0.481,3.4
2009,1,1,4,0,0,0,0,0,0,0,9,125.07,0.492,3.3
2009,1,1,5,0,0,0,0,0,0,0,9,112.21,0.456,3.5
2009,1,1,6,0,0,0,0,0,0,0,9,99.67,0.441,3.4
2009,1,1,7,0,6,0,6,14,37,15,11,87.66,0.428,3.3
2009,1,1,8,0,108,72,125,104,339,183,14,76.46,0.42,2.8
2009,1,1,9,0,179,20,187,159,525,369,18,66.5,0.423,2.3
2009,1,1,10,0,235,50,262,191,627,520,22,58.42,0.429,2.7
2009,1,1,11,0,289,452,561,208,678,615,24,53.11,0.435,2.9
2009,1,1,12,0,227,605,605,212,691,643,25,51.45,0.439,2.7
2009,1,1,13,0,198,650,583,206,671,603,25,53.76,0.446,2.7
2009,1,1,14,0,182,587,480,187,612,497,24,59.6,0.457,2.8
2009,1,1,15,0,158,447,326,152,499,338,22,68.04,0.46,2.8
2009,1,1,16,0,99,154,131,91,293,151,19,78.25,0.466,2.7
2009,1,1,17,0,0,0,0,3,5,3,16,89.61,0.465,2.8
2009,1,1,18,0,0,0,0,0,0,0,15,101.72,0.457,2.8
2009,1,1,19,0,0,0,0,0,0,0,14,114.33,0.445,2.7
2009,1,1,20,0,0,0,0,0,0,0,14,127.26,0.435,2.7
2009,1,1,21,0,0,0,0,0,0,0,13,140.38,0.443,2.6
2009,1,1,22,0,0,0,0,0,0,0,12,153.55,0.455,2.5
2009,1,1,23,0,0,0,0,0,0,0,11,166.42,0.471,2.4
2009,1,2,0,0,0,0,0,0,0,0,11,174.39,0.487,2.3
2009,1,2,1,0,0,0,0,0,0,0,10,164.42,0.508,2.2
2009,1,2,2,0,0,0,0,0,0,0,10,151.44,0.534,2.2
2009,1,2,3,0,0,0,0,0,0,0,9,138.27,0.549,2.3
2009,1,2,4,0,0,0,0,0,0,0,9,125.17,0.567,2.3
2009,1,2,5,0,0,0,0,0,0,0,8,112.28,0.575,2.3
2009,1,2,6,0,0,0,0,0,0,0,8,99.73,0.576,2.1
2009,1,2,7,0,9,0,9,13,35,14,10,87.71,0.579,1.9
2009,1,2,8,0,107,284,174,102,329,179,14,76.49,0.593,1.5
2009,1,2,9,0,157,493,354,158,513,362,17,66.5,0.618,1
2009,1,2,10,0,186,601,501,189,614,511,22,58.4,0.645,1.2
2009,1,2,11,0,200,657,595,206,664,605,24,53.06,0.672,1.3
2009,1,2,12,0,204,668,622,210,677,633,25,51.36,0.697,1.2
2009,1,2,13,0,199,651,585,204,657,593,25,53.65,0.715,1
2009,1,2,14,0,186,581,482,185,599,490,24,59.46,0.719,1.1
2009,1,2,15,0,162,428,324,151,488,334,22,67.9,0.695,1
2009,1,2,16,0,100,163,134,91,288,150,19,78.11,0.649,0.9
2009,1,2,17,0,0,0,0,4,6,4,16,89.47,0.606,0.8
2009,1,2,18,0,0,0,0,0,0,0,15,101.59,0.564,0.8
2009,1,2,19,0,0,0,0,0,0,0,14,114.2,0.522,0.8
2009,1,2,20,0,0,0,0,0,0,0,14,127.13,0.484,0.9
2009,1,2,21,0,0,0,0,0,0,0,13,140.25,0.452,1.1
2009,1,2,22,0,0,0,0,0,0,0,12,153.42,0.433,1.3
2009,1,2,23,0,0,0,0,0,0,0,12,166.28,0.426,1.4
2009,1,3,0,0,0,0,0,0,0,0,11,174.31,0.426,1.3
2009,1,3,1,0,0,0,0,0,0,0,10,164.48,0.428,1.2
2009,1,3,2,0,0,0,0,0,0,0,10,151.52,0.428,1.1
2009,1,3,3,0,0,0,0,0,0,0,9,138.34,0.437,1
2009,1,3,4,0,0,0,0,0,0,0,9,125.24,0.445,1
2009,1,3,5,0,0,0,0,0,0,0,8,112.34,0.458,0.9
2009,1,3,6,0,0,0,0,0,0,0,8,99.78,0.475,0.8
2009,1,3,7,0,6,0,6,13,35,14,10,87.75,0.492,0.6
2009,1,3,8,0,97,12,100,103,332,180,14,76.51,0.513,0.3
2009,1,3,9,0,159,8,163,158,517,365,17,66.5,0.538,0.2
2009,1,3,10,0,192,5,195,190,619,515,22,58.37,0.558,0.5
2009,1,3,11,0,187,1,188,207,670,610,25,52.99,0.572,0.7
2009,1,3,12,0,179,1,180,211,683,639,25,51.26,0.593,0.8
2009,1,3,13,0,168,0,168,205,663,599,25,53.52,0.616,0.9
2009,1,3,14,0,237,61,269,186,604,495,24,59.33,0.638,0.7
2009,1,3,15,0,197,346,328,152,492,338,22,67.76,0.657,0.5
2009,1,3,16,0,101,170,137,92,291,152,19,77.97,0.676,0.4
2009,1,3,17,0,1,0,1,4,7,4,16,89.33,0.699,0.5
2009,1,3,18,0,0,0,0,0,0,0,15,101.45,0.727,0.7
2009,1,3,19,0,0,0,0,0,0,0,15,114.06,0.756,0.9
2009,1,3,20,0,0,0,0,0,0,0,14,127,0.783,1.2
2009,1,3,21,0,0,0,0,0,0,0,13,140.12,0.82,1.5
2009,1,3,22,0,0,0,0,0,0,0,13,153.29,0.869,1.7
2009,1,3,23,0,0,0,0,0,0,0,12,166.14,0.924,1.7
2009,1,4,0,0,0,0,0,0,0,0,12,174.23,0.979,1.5
2009,1,4,1,0,0,0,0,0,0,0,12,164.53,1.026,1.2
2009,1,4,2,0,0,0,0,0,0,0,12,151.58,1.073,0.9
2009,1,4,3,0,0,0,0,0,0,0,11,138.41,1.096,0.5
2009,1,4,4,0,0,0,0,0,0,0,10,125.3,1.118,0.7
2009,1,4,5,0,0,0,0,0,0,0,10,112.4,1.133,0.9
2009,1,4,6,0,0,0,0,0,0,0,9,99.83,1.146,1.1
2009,1,4,7,0,5,0,5,12,30,13,12,87.78,1.143,1
2009,1,4,8,0,103,56,117,100,310,172,15,76.53,1.166,0.8
2009,1,4,9,0,175,28,187,155,492,351,18,66.5,1.181,0.6
2009,1,4,10,0,278,212,390,187,594,499,23,58.33,1.196,0.7
2009,1,4,11,0,251,522,566,203,645,592,25,52.92,1.23,0.5
2009,1,4,12,0,280,490,588,208,659,621,26,51.15,1.258,0.4
2009,1,4,13,0,285,81,334,202,639,583,26,53.39,1.277,0.5
2009,1,4,14,0,255,322,420,183,582,482,25,59.18,1.298,0.5
2009,1,4,15,0,166,365,306,149,472,329,23,67.61,1.315,0.4
2009,1,4,16,0,100,194,141,90,278,149,20,77.82,1.319,0.3
2009,1,4,17,0,1,0,1,4,8,4,18,89.19,1.318,0.1
2009,1,4,18,0,0,0,0,0,0,0,18,101.31,1.329,0.2
2009,1,4,19,0,0,0,0,0,0,0,17,113.93,1.331,0.4
2009,1,4,20,0,0,0,0,0,0,0,16,126.86,1.31,0.6
2009,1,4,21,0,0,0,0,0,0,0,16,139.99,1.278,0.7
2009,1,4,22,0,0,0,0,0,0,0,15,153.15,1.239,0.8
2009,1,4,23,0,0,0,0,0,0,0,15,166,1.196,0.9
2009,1,5,0,0,0,0,0,0,0,0,15,174.14,1.163,1
2009,1,5,1,0,0,0,0,0,0,0,14,164.58,1.133,1
2009,1,5,2,0,0,0,0,0,0,0,14,151.65,1.098,1.1
2009,1,5,3,0,0,0,0,0,0,0,13,138.47,1.069,1.1
2009,1,5,4,0,0,0,0,0,0,0,13,125.36,1.042,1
2009,1,5,5,0,0,0,0,0,0,0,13,112.45,1.018,1
2009,1,5,6,0,0,0,0,0,0,0,12,99.87,0.993,0.9
2009,1,5,7,0,5,0,5,12,30,13,14,87.81,0.97,0.8
2009,1,5,8,0,114,231,168,100,315,174,16,76.54,0.949,0.6
2009,1,5,9,0,171,401,331,156,500,356,21,66.49,0.93,0.5
2009,1,5,10,0,201,545,488,188,604,506,24,58.29,0.914,0.5
2009,1,5,11,0,222,594,581,205,656,601,26,52.84,0.906,0.1
2009,1,5,12,0,247,546,591,210,671,632,26,51.04,0.901,0.2
2009,1,5,13,0,216,610,581,204,653,595,26,53.26,0.893,0.4
2009,1,5,14,0,184,594,490,186,597,493,25,59.03,0.881,0.5
2009,1,5,15,0,163,448,335,152,488,339,23,67.46,0.871,0.6
2009,1,5,16,0,103,157,137,93,292,155,20,77.67,0.859,0.8
2009,1,5,17,0,1,0,1,5,10,5,18,89.04,0.838,1.1
2009,1,5,18,0,0,0,0,0,0,0,17,101.17,0.816,1.4
2009,1,5,19,0,0,0,0,0,0,0,16,113.79,0.797,1.7
2009,1,5,20,0,0,0,0,0,0,0,15,126.73,0.779,1.9
2009,1,5,21,0,0,0,0,0,0,0,15,139.85,0.766,2
2009,1,5,22,0,0,0,0,0,0,0,14,153.02,0.755,2.1
2009,1,5,23,0,0,0,0,0,0,0,13,165.86,0.746,2.2
2009,1,6,0,0,0,0,0,0,0,0,12,174.04,0.741,2.3
2009,1,6,1,0,0,0,0,0,0,0,11,164.62,0.736,2.3
2009,1,6,2,0,0,0,0,0,0,0,11,151.71,0.732,2.3
2009,1,6,3,0,0,0,0,0,0,0,10,138.54,0.729,2.3
2009,1,6,4,0,0,0,0,0,0,0,10,125.42,0.727,2.2
2009,1,6,5,0,0,0,0,0,0,0,9,112.5,0.723,2.1
2009,1,6,6,0,0,0,0,0,0,0,9,99.91,0.718,1.9
2009,1,6,7,0,5,0,5,12,31,13,11,87.84,0.711,1.6
2009,1,6,8,0,113,70,130,101,323,177,15,76.55,0.707,1.2
2009,1,6,9,0,198,201,279,157,509,361,19,66.47,0.704,1
2009,1,6,10,0,240,461,483,189,613,512,23,58.24,0.705,1.8
