Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water,Wind Speed
2010,1,1,0,0,0,0,0,0,0,0,9,174.47,0.752,3.3
2010,1,1,1,0,0,0,0,0,0,0,8,164.32,0.756,3.4
2010,1,1,2,0,0,0,0,0,0,0,8,151.32,0.764,3.3
2010,1,1,3,0,0,0,0,0,0,0,7,138.15,0.763,3.2
2010,1,1,4,0,0,0,0,0,0,0,7,125.05,0.753,2.9
2010,1,1,5,0,0,0,0,0,0,0,8,112.19,0.502,3.2
2010,1,1,6,0,0,0,0,0,0,0,8,99.66,0.509,3
2010,1,1,7,0,8,0,8,12,26,13,10,87.65,0.512,2.8
2010,1,1,8,0,116,217,167,109,282,175,14,76.45,0.514,2.2
2010,1,1,9,0,172,423,341,173,459,357,18,66.49,0.515,1.6
2010,1,1,10,0,207,530,485,211,562,505,23,58.42,0.517,2.1
2010,1,1,11,0,230,565,570,231,613,599,25,53.13,0.524,2.3
2010,1,1,12,0,234,589,601,236,627,627,26,51.47,0.535,2.5
2010,1,1,13,0,235,530,549,228,606,586,26,53.79,0.549,2.6
2010,1,1,14,0,210,487,457,206,546,482,25,59.63,0.562,2.6
2010,1,1,15,0,173,347,303,164,433,326,24,68.07,0.564,2.5
2010,1,1,16,0,99,105,121,94,240,142,20,78.28,0.558,2.2
2010,1,1,17,0,0,0,0,2,3,3,17,89.64,0.549,2.1
2010,1,1,18,0,0,0,0,0,0,0,16,101.76,0.537,2
2010,1,1,19,0,0,0,0,0,0,0,15,114.36,0.521,1.8
2010,1,1,20,0,0,0,0,0,0,0,15,127.29,0.501,1.6
2010,1,1,21,0,0,0,0,0,0,0,14,140.41,0.48,1.3
2010,1,1,22,0,0,0,0,0,0,0,13,153.58,0.463,1
2010,1,1,23,0,0,0,0,0,0,0,12,166.45,0.451,0.8
2010,1,2,0,0,0,0,0,0,0,0,12,174.4,0.444,0.7
2010,1,2,1,0,0,0,0,0,0,0,11,164.4,0.44,0.8
2010,1,2,2,0,0,0,0,0,0,0,10,151.42,0.438,0.7
2010,1,2,3,0,0,0,0,0,0,0,10,138.25,0.451,0.7
2010,1,2,4,0,0,0,0,0,0,0,9,125.15,0.464,0.7
2010,1,2,5,0,0,0,0,0,0,0,9,112.26,0.478,0.6
2010,1,2,6,0,0,0,0,0,0,0,8,99.71,0.494,0.4
2010,1,2,7,0,5,0,5,12,25,13,10,87.7,0.512,0.1
2010,1,2,8,0,98,22,104,108,280,174,14,76.48,0.53,0.2
2010,1,2,9,0,181,20,189,173,458,356,18,66.5,0.535,0.3
2010,1,2,10,0,185,5,188,211,560,505,23,58.4,0.541,0.4
2010,1,2,11,0,185,2,187,231,612,599,25,53.07,0.551,0.3
2010,1,2,12,0,173,0,173,236,626,627,26,51.38,0.569,0.4
2010,1,2,13,0,183,5,186,228,604,586,26,53.67,0.597,0.5
2010,1,2,14,0,272,220,384,206,543,482,25,59.5,0.641,0.4
2010,1,2,15,0,180,271,282,164,429,325,23,67.94,0.709,0.2
2010,1,2,16,0,96,64,110,93,235,142,20,78.15,0.779,0.3
2010,1,2,17,0,0,0,0,3,3,3,18,89.5,0.846,0.3
2010,1,2,18,0,0,0,0,0,0,0,17,101.62,0.904,0.3
2010,1,2,19,0,0,0,0,0,0,0,16,114.23,0.935,0.4
2010,1,2,20,0,0,0,0,0,0,0,15,127.16,0.94,0.3
2010,1,2,21,0,0,0,0,0,0,0,14,140.28,0.962,0.3
2010,1,2,22,0,0,0,0,0,0,0,14,153.45,0.972,0.4
2010,1,2,23,0,0,0,0,0,0,0,13,166.31,0.986,0.4
2010,1,3,0,0,0,0,0,0,0,0,12,174.33,1.022,0.5
2010,1,3,1,0,0,0,0,0,0,0,12,164.46,1.071,0.7
2010,1,3,2,0,0,0,0,0,0,0,11,151.5,1.125,0.9
2010,1,3,3,0,0,0,0,0,0,0,11,138.32,1.172,1.1
2010,1,3,4,0,0,0,0,0,0,0,11,125.22,1.224,1.2
2010,1,3,5,0,0,0,0,0,0,0,10,112.32,1.276,1.2
2010,1,3,6,0,0,0,0,0,0,0,10,99.77,1.327,1.2
2010,1,3,7,0,5,0,5,10,21,11,12,87.74,1.377,1.1
2010,1,3,8,0,115,146,150,104,257,164,16,76.51,1.432,0.8
2010,1,3,9,0,168,428,339,168,428,339,20,66.5,1.478,0.5
