Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water,Wind Speed
2011,1,1,0,0,0,0,0,0,0,0,16,174.48,1.978,2
2011,1,1,1,0,0,0,0,0,0,0,15,164.3,2.008,2.1
2011,1,1,2,0,0,0,0,0,0,0,15,151.3,2.054,2.1
2011,1,1,3,0,0,0,0,0,0,0,15,138.13,2.12,2
2011,1,1,4,0,0,0,0,0,0,0,15,125.04,2.234,1.7
2011,1,1,5,0,0,0,0,0,0,0,7,112.17,0.735,2.7
2011,1,1,6,0,0,0,0,0,0,0,6,99.64,0.717,2.5
2011,1,1,7,0,7,0,7,14,30,15,8,87.64,0.702,2.3
2011,1,1,8,0,97,22,103,102,330,179,11,76.45,0.696,1.9
2011,1,1,9,0,166,12,171,154,520,362,15,66.49,0.698,1.7
2011,1,1,10,0,251,75,291,184,623,511,18,58.43,0.701,2.3
2011,1,1,11,0,273,459,549,200,675,605,20,53.14,0.707,2.5
2011,1,1,12,0,208,668,624,204,688,633,21,51.49,0.712,2.5
2011,1,1,13,0,193,663,585,198,668,592,21,53.82,0.72,2.6
2011,1,1,14,0,177,600,481,180,609,487,20,59.66,0.731,2.8
2011,1,1,15,0,156,460,328,147,493,331,19,68.11,0.739,3
2011,1,1,16,0,98,180,135,89,283,146,16,78.32,0.74,3
2011,1,1,17,0,0,0,0,3,2,3,14,89.67,0.725,3.3
2011,1,1,18,0,0,0,0,0,0,0,13,101.79,0.703,3.6
2011,1,1,19,0,0,0,0,0,0,0,12,114.4,0.681,3.8
2011,1,1,20,0,0,0,0,0,0,0,12,127.32,0.659,3.8
2011,1,1,21,0,0,0,0,0,0,0,11,140.44,0.633,3.8
2011,1,1,22,0,0,0,0,0,0,0,10,153.61,0.606,3.7
2011,1,1,23,0,0,0,0,0,0,0,10,166.48,0.579,3.6
2011,1,2,0,0,0,0,0,0,0,0,9,174.42,0.553,3.5
2011,1,2,1,0,0,0,0,0,0,0,9,164.39,0.529,3.5
2011,1,2,2,0,0,0,0,0,0,0,8,151.4,0.506,3.5
2011,1,2,3,0,0,0,0,0,0,0,8,138.23,0.489,3.5
2011,1,2,4,0,0,0,0,0,0,0,7,125.13,0.479,3.5
2011,1,2,5,0,0,0,0,0,0,0,7,112.24,0.477,3.4
2011,1,2,6,0,0,0,0,0,0,0,6,99.7,0.478,3.2
2011,1,2,7,0,6,0,6,14,31,15,8,87.68,0.479,2.9
2011,1,2,8,0,106,63,121,103,339,182,11,76.48,0.478,2.2
2011,1,2,9,0,180,21,189,156,532,368,15,66.5,0.479,1.6
2011,1,2,10,0,234,18,244,186,635,519,19,58.41,0.485,2
2011,1,2,11,0,293,90,348,201,686,614,20,53.09,0.5,1.9
2011,1,2,12,0,306,354,527,205,699,642,21,51.4,0.52,1.8
2011,1,2,13,0,280,388,510,199,678,601,21,53.7,0.543,1.7
2011,1,2,14,0,264,134,332,181,619,495,21,59.53,0.562,1.7
2011,1,2,15,0,178,76,207,148,503,337,19,67.97,0.571,1.7
2011,1,2,16,0,60,0,60,91,292,151,16,78.18,0.573,1.6
2011,1,2,17,0,0,0,0,3,4,3,14,89.54,0.567,1.7
2011,1,2,18,0,0,0,0,0,0,0,13,101.66,0.561,2
2011,1,2,19,0,0,0,0,0,0,0,13,114.26,0.552,2.3
2011,1,2,20,0,0,0,0,0,0,0,12,127.19,0.539,2.6
2011,1,2,21,0,0,0,0,0,0,0,11,140.31,0.524,2.7
2011,1,2,22,0,0,0,0,0,0,0,10,153.48,0.51,2.6
2011,1,2,23,0,0,0,0,0,0,0,9,166.35,0.497,2.6
2011,1,3,0,0,0,0,0,0,0,0,9,174.35,0.488,2.5
2011,1,3,1,0,0,0,0,0,0,0,8,164.45,0.48,2.4
2011,1,3,2,0,0,0,0,0,0,0,7,151.48,0.474,2.2
2011,1,3,3,0,0,0,0,0,0,0,6,138.3,0.471,1.9
2011,1,3,4,0,0,0,0,0,0,0,6,125.2,0.464,1.7
2011,1,3,5,0,0,0,0,0,0,0,5,112.31,0.455,1.5
2011,1,3,6,0,0,0,0,0,0,0,4,99.76,0.446,1.4
2011,1,3,7,0,6,0,6,14,30,15,7,87.73,0.439,1.3
2011,1,3,8,0,113,115,140,103,341,183,9,76.5,0.436,1.1
2011,1,3,9,0,185,299,305,156,534,369,13,66.5,0.441,1.1
2011,1,3,10,0,269,230,390,186,637,521,15,58.38,0.455,1.3
2011,1,3,11,0,269,482,559,202,688,616,16,53.03,0.475,1.5
2011,1,3,12,0,226,607,606,206,702,645,17,51.31,0.495,1.7
2011,1,3,13,0,196,652,584,200,681,605,17,53.58,0.51,2
2011,1,3,14,0,183,594,486,182,623,500,17,59.39,0.515,2
2011,1,3,15,0,161,437,326,150,509,342,16,67.83,0.506,1.8
2011,1,3,16,0,99,165,134,92,300,154,13,78.04,0.491,1.4
2011,1,3,17,0,0,0,0,4,5,4,11,89.4,0.47,1.3
2011,1,3,18,0,0,0,0,0,0,0,10,101.52,0.448,1.2
2011,1,3,19,0,0,0,0,0,0,0,10,114.13,0.429,1.2
2011,1,3,20,0,0,0,0,0,0,0,9,127.06,0.414,1.3
2011,1,3,21,0,0,0,0,0,0,0,8,140.18,0.404,1.5
2011,1,3,22,0,0,0,0,0,0,0,7,153.35,0.399,1.6
2011,1,3,23,0,0,0,0,0,0,0,7,166.21,0.399,1.9
2011,1,4,0,0,0,0,0,0,0,0,6,174.27,0.407,2.3
2011,1,4,1,0,0,0,0,0,0,0,5,164.51,0.416,2.4
2011,1,4,2,0,0,0,0,0,0,0,5,151.55,0.421,2.3
2011,1,4,3,0,0,0,0,0,0,0,4,138.37,0.424,2.2
2011,1,4,4,0,0,0,0,0,0,0,3,125.27,0.426,2.1
2011,1,4,5,0,0,0,0,0,0,0,3,112.37,0.428,2
2011,1,4,6,0,0,0,0,0,0,0,2,99.81,0.429,1.8
2011,1,4,7,0,6,0,6,13,30,15,5,87.76,0.43,1.8
2011,1,4,8,0,108,77,126,103,341,183,8,76.52,0.426,1.7
2011,1,4,9,0,189,50,209,156,534,369,12,66.5,0.431,1.7
2011,1,4,10,0,231,25,245,186,639,522,15,58.35,0.437,2.2
2011,1,4,11,0,296,91,351,202,691,619,17,52.96,0.448,2.4
2011,1,4,12,0,276,29,295,207,705,649,18,51.21,0.454,2.4
2011,1,4,13,0,292,76,338,201,686,609,19,53.46,0.455,2.3
2011,1,4,14,0,240,53,268,183,628,504,19,59.25,0.461,2.3
2011,1,4,15,0,184,156,244,151,514,346,17,67.69,0.467,2.3
2011,1,4,16,0,71,0,71,93,304,157,14,77.89,0.476,2.4
2011,1,4,17,0,1,0,1,5,6,5,12,89.26,0.471,2.7
2011,1,4,18,0,0,0,0,0,0,0,11,101.38,0.465,3
2011,1,4,19,0,0,0,0,0,0,0,10,113.99,0.456,3.1
2011,1,4,20,0,0,0,0,0,0,0,9,126.93,0.441,3.2
2011,1,4,21,0,0,0,0,0,0,0,9,140.05,0.427,3.2
2011,1,4,22,0,0,0,0,0,0,0,8,153.22,0.42,3.1
2011,1,4,23,0,0,0,0,0,0,0,7,166.07,0.415,3
2011,1,5,0,0,0,0,0,0,0,0,7,174.19,0.41,2.9
2011,1,5,1,0,0,0,0,0,0,0,6,164.56,0.406,2.8
2011,1,5,2,0,0,0,0,0,0,0,5,151.62,0.398,2.9
2011,1,5,3,0,0,0,0,0,0,0,4,138.44,0.387,3
2011,1,5,4,0,0,0,0,0,0,0,3,125.33,0.38,3.1
2011,1,5,5,0,0,0,0,0,0,0,3,112.42,0.376,3.1
2011,1,5,6,0,0,0,0,0,0,0,2,99.85,0.376,3.2
2011,1,5,7,0,5,0,5,13,30,15,4,87.8,0.375,3
2011,1,5,8,0,100,29,107,103,344,184,7,76.54,0.368,2.4
2011,1,5,9,0,175,18,183,157,540,372,11,66.49,0.364,2.1
2011,1,5,10,0,262,58,293,187,646,527,15,58.31,0.356,2.3
2011,1,5,11,0,306,138,390,203,698,625,17,52.88,0.36,2.4
2011,1,5,12,0,315,320,516,208,712,655,19,51.1,0.374,2.6
2011,1,5,13,0,229,588,581,202,692,615,19,53.32,0.392,2.7
2011,1,5,14,0,179,606,491,184,634,510,19,59.11,0.406,2.9
2011,1,5,15,0,161,451,334,152,520,351,18,67.54,0.408,2.9
2011,1,5,16,0,103,182,142,95,313,161,15,77.75,0.396,3
2011,1,5,17,0,1,0,1,5,8,5,12,89.11,0.372,3.2
2011,1,5,18,0,0,0,0,0,0,0,11,101.24,0.346,3.2
2011,1,5,19,0,0,0,0,0,0,0,11,113.86,0.322,3.1
2011,1,5,20,0,0,0,0,0,0,0,10,126.79,0.301,2.9
2011,1,5,21,0,0,0,0,0,0,0,9,139.92,0.286,2.6
2011,1,5,22,0,0,0,0,0,0,0,8,153.09,0.276,2.6
2011,1,5,23,0,0,0,0,0,0,0,8,165.93,0.271,2.6
2011,1,6,0,0,0,0,0,0,0,0,7,174.09,0.273,2.7
2011,1,6,1,0,0,0,0,0,0,0,6,164.6,0.282,2.8
2011,1,6,2,0,0,0,0,0,0,0,6,151.68,0.296,2.8
2011,1,6,3,0,0,0,0,0,0,0,5,138.51,0.302,3
2011,1,6,4,0,0,0,0,0,0,0,5,125.39,0.306,3.2
2011,1,6,5,0,0,0,0,0,0,0,4,112.47,0.312,3.3
2011,1,6,6,0,0,0,0,0,0,0,4,99.89,0.319,3.3
2011,1,6,7,0,5,0,5,13,30,14,6,87.82,0.319,3.1
2011,1,6,8,0,100,28,107,104,349,185,10,76.54,0.307,2.5
2011,1,6,9,0,171,15,177,158,545,375,13,66.48,0.304,1.9
2011,1,6,10,0,247,62,280,188,651,531,17,58.27,0.309,1.8
2011,1,6,11,0,286,470,571,204,703,629,20,52.8,0.319,2.1
2011,1,6,12,0,212,661,629,208,716,660,21,50.98,0.337,2.1
