Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water,Wind Speed
2013,1,1,0,0,0,0,0,0,0,0,8,174.46,0.987,2
2013,1,1,1,0,0,0,0,0,0,0,8,164.34,0.927,2.3
2013,1,1,2,0,0,0,0,0,0,0,8,151.34,0.865,2.4
2013,1,1,3,0,0,0,0,0,0,0,7,138.17,0.807,2.3
2013,1,1,4,0,0,0,0,0,0,0,7,125.07,0.763,2.1
2013,1,1,5,0,0,0,0,0,0,0,7,112.21,0.559,1.9
2013,1,1,6,0,0,0,0,0,0,0,7,99.67,0.572,1.3
2013,1,1,7,0,5,0,5,11,12,12,9,87.66,0.582,1.1
2013,1,1,8,0,95,9,98,111,258,172,13,76.46,0.59,0.9
2013,1,1,9,0,165,11,170,175,447,353,16,66.5,0.582,0.7
2013,1,1,10,0,213,14,221,211,555,502,21,58.42,0.569,0.4
2013,1,1,11,0,321,241,466,230,611,597,23,53.11,0.553,0.3
2013,1,1,12,0,262,500,574,236,627,626,23,51.44,0.54,0.5
2013,1,1,13,0,241,526,552,228,606,587,23,53.76,0.524,0.8
2013,1,1,14,0,230,395,430,207,545,483,22,59.59,0.509,1.1
2013,1,1,15,0,193,293,303,167,426,327,20,68.04,0.507,1.3
2013,1,1,16,0,57,0,57,97,221,142,17,78.25,0.497,1.4
2013,1,1,17,0,0,0,0,2,0,2,16,89.6,0.482,1.5
2013,1,1,18,0,0,0,0,0,0,0,15,101.72,0.474,1.5
2013,1,1,19,0,0,0,0,0,0,0,14,114.33,0.477,1.6
2013,1,1,20,0,0,0,0,0,0,0,13,127.26,0.49,1.7
2013,1,1,21,0,0,0,0,0,0,0,13,140.37,0.499,2
2013,1,1,22,0,0,0,0,0,0,0,12,153.54,0.498,2.3
2013,1,1,23,0,0,0,0,0,0,0,11,166.41,0.484,2.6
2013,1,2,0,0,0,0,0,0,0,0,10,174.38,0.468,2.8
2013,1,2,1,0,0,0,0,0,0,0,9,164.42,0.455,3
2013,1,2,2,0,0,0,0,0,0,0,8,151.44,0.442,3
2013,1,2,3,0,0,0,0,0,0,0,8,138.27,0.415,2.8
