Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water,Wind Speed
2002,1,1,0,0,0,0,0,0,0,0,7,174.48,1.006,1.5
2002,1,1,1,0,0,0,0,0,0,0,7,164.32,0.998,1.8
2002,1,1,2,0,0,0,0,0,0,0,7,151.32,0.987,1.8
2002,1,1,3,0,0,0,0,0,0,0,6,138.15,0.98,1.8
2002,1,1,4,0,0,0,0,0,0,0,6,125.05,0.967,1.6
2002,1,1,5,0,0,0,0,0,0,0,8,112.19,0.433,1.5
2002,1,1,6,0,0,0,0,0,0,0,8,99.66,0.431,1.2
2002,1,1,7,0,8,0,8,13,24,14,10,87.65,0.43,0.7
2002,1,1,8,0,108,47,120,109,298,179,14,76.46,0.431,0.2
2002,1,1,9,0,206,90,242,169,485,363,18,66.5,0.439,0.1
2002,1,1,10,0,247,51,274,203,589,512,23,58.43,0.451,0.1
2002,1,1,11,0,303,206,427,221,641,606,25,53.13,0.466,0.2
2002,1,1,12,0,273,525,601,226,655,634,26,51.47,0.478,0.2
2002,1,1,13,0,213,609,573,219,634,594,26,53.8,0.487,0.3
2002,1,1,14,0,199,536,470,198,573,488,26,59.63,0.499,0.5
2002,1,1,15,0,167,403,318,160,457,331,24,68.08,0.498,0.9
2002,1,1,16,0,100,140,129,94,252,145,20,78.29,0.497,1.1
2002,1,1,17,0,0,0,0,3,2,3,17,89.65,0.488,1.3
2002,1,1,18,0,0,0,0,0,0,0,16,101.76,0.465,1.3
2002,1,1,19,0,0,0,0,0,0,0,15,114.37,0.436,1.2
2002,1,1,20,0,0,0,0,0,0,0,14,127.29,0.413,1.1
2002,1,1,21,0,0,0,0,0,0,0,13,140.41,0.413,1.3
2002,1,1,22,0,0,0,0,0,0,0,13,153.58,0.426,1.7
2002,1,1,23,0,0,0,0,0,0,0,12,166.45,0.438,2
2002,1,2,0,0,0,0,0,0,0,0,11,174.41,0.444,2.2
2002,1,2,1,0,0,0,0,0,0,0,11,164.4,0.45,2.2
2002,1,2,2,0,0,0,0,0,0,0,10,151.42,0.454,2.2
2002,1,2,3,0,0,0,0,0,0,0,9,138.25,0.456,2
2002,1,2,4,0,0,0,0,0,0,0,9,125.15,0.462,1.7
2002,1,2,5,0,0,0,0,0,0,0,8,112.26,0.473,1.4
2002,1,2,6,0,0,0,0,0,0,0,8,99.72,0.486,1
2002,1,2,7,0,7,0,7,12,22,13,10,87.7,0.502,0.7
2002,1,2,8,0,108,47,119,108,293,176,14,76.49,0.52,0.6
2002,1,2,9,0,206,90,242,168,479,359,18,66.51,0.54,0.6
2002,1,2,10,0,236,48,262,202,583,508,23,58.41,0.561,1.1
2002,1,2,11,0,298,375,524,220,635,602,24,53.08,0.581,1.3
