Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water,Wind Speed
2007,1,1,0,0,0,0,0,0,0,0,10,174.49,0.253,3.2
2007,1,1,1,0,0,0,0,0,0,0,10,164.3,0.252,3.2
2007,1,1,2,0,0,0,0,0,0,0,9,151.3,0.247,3.1
2007,1,1,3,0,0,0,0,0,0,0,9,138.13,0.248,3.1
2007,1,1,4,0,0,0,0,0,0,0,8,125.04,0.247,3
2007,1,1,5,0,0,0,0,0,0,0,9,112.17,0.833,2.1
2007,1,1,6,0,0,0,0,0,0,0,8,99.64,0.816,2.2
2007,1,1,7,0,8,0,8,13,31,14,10,87.64,0.793,2.2
2007,1,1,8,0,97,20,102,102,318,177,14,76.45,0.768,1.9
2007,1,1,9,0,167,13,173,157,504,359,17,66.49,0.748,1.5
2007,1,1,10,0,195,5,198,189,608,507,21,58.43,0.736,1.7
2007,1,1,11,0,200,3,202,206,659,601,23,53.14,0.727,1.8
2007,1,1,12,0,218,6,222,210,674,630,24,51.49,0.719,1.8
2007,1,1,13,0,257,28,274,204,654,590,24,53.82,0.714,1.8
2007,1,1,14,0,256,97,305,185,595,486,23,59.66,0.711,2
2007,1,1,15,0,177,219,259,150,481,330,21,68.11,0.705,2.1
2007,1,1,16,0,99,75,115,90,277,146,18,78.32,0.695,2.4
2007,1,1,17,0,0,0,0,3,3,3,16,89.68,0.683,2.6
2007,1,1,18,0,0,0,0,0,0,0,15,101.79,0.67,2.8
2007,1,1,19,0,0,0,0,0,0,0,14,114.4,0.657,2.9
2007,1,1,20,0,0,0,0,0,0,0,13,127.32,0.645,2.9
2007,1,1,21,0,0,0,0,0,0,0,12,140.44,0.637,2.9
2007,1,1,22,0,0,0,0,0,0,0,12,153.61,0.629,2.8
2007,1,1,23,0,0,0,0,0,0,0,11,166.48,0.623,2.8
2007,1,2,0,0,0,0,0,0,0,0,10,174.42,0.62,2.7
2007,1,2,1,0,0,0,0,0,0,0,10,164.39,0.617,2.7
2007,1,2,2,0,0,0,0,0,0,0,9,151.4,0.615,2.8
2007,1,2,3,0,0,0,0,0,0,0,8,138.23,0.611,3
2007,1,2,4,0,0,0,0,0,0,0,8,125.13,0.608,3.2
2007,1,2,5,0,0,0,0,0,0,0,7,112.24,0.603,3.2
2007,1,2,6,0,0,0,0,0,0,0,7,99.7,0.595,3.3
2007,1,2,7,0,8,0,8,13,32,14,9,87.68,0.586,3.3
2007,1,2,8,0,106,44,117,103,325,179,12,76.48,0.583,2.6
2007,1,2,9,0,185,39,201,159,512,363,16,66.5,0.577,2.1
2007,1,2,10,0,252,28,267,190,616,513,21,58.41,0.574,2.6
2007,1,2,11,0,284,67,325,207,667,608,23,53.09,0.576,2.6
2007,1,2,12,0,319,343,533,211,681,637,24,51.4,0.581,2.5
2007,1,2,13,0,228,596,581,205,661,597,24,53.71,0.589,2.5
2007,1,2,14,0,186,578,480,186,602,492,23,59.53,0.597,2.7
2007,1,2,15,0,162,431,324,151,488,335,21,67.97,0.611,2.9
2007,1,2,16,0,99,152,131,91,283,149,18,78.18,0.621,2.9
2007,1,2,17,0,0,0,0,3,4,3,15,89.54,0.627,3.2
2007,1,2,18,0,0,0,0,0,0,0,14,101.66,0.628,3.3
2007,1,2,19,0,0,0,0,0,0,0,13,114.27,0.626,3.3
2007,1,2,20,0,0,0,0,0,0,0,12,127.19,0.619,3.3
2007,1,2,21,0,0,0,0,0,0,0,12,140.31,0.602,3.3
2007,1,2,22,0,0,0,0,0,0,0,11,153.48,0.585,3.3
2007,1,2,23,0,0,0,0,0,0,0,10,166.35,0.57,3.4
2007,1,3,0,0,0,0,0,0,0,0,9,174.35,0.558,3.4
2007,1,3,1,0,0,0,0,0,0,0,9,164.45,0.552,3.4
2007,1,3,2,0,0,0,0,0,0,0,8,151.48,0.55,3.5
2007,1,3,3,0,0,0,0,0,0,0,8,138.3,0.551,3.6
2007,1,3,4,0,0,0,0,0,0,0,7,125.2,0.557,3.6
2007,1,3,5,0,0,0,0,0,0,0,7,112.31,0.561,3.6
2007,1,3,6,0,0,0,0,0,0,0,7,99.76,0.561,3.6
2007,1,3,7,0,10,0,10,13,31,14,9,87.73,0.566,3.5
2007,1,3,8,0,109,281,175,103,324,179,12,76.5,0.585,2.8
2007,1,3,9,0,158,491,354,158,511,362,16,66.51,0.607,2.3
2007,1,3,10,0,187,599,501,190,613,512,20,58.39,0.627,2.9
2007,1,3,11,0,201,655,595,206,664,606,22,53.03,0.643,2.8
2007,1,3,12,0,204,671,624,211,678,636,23,51.31,0.651,2.8
2007,1,3,13,0,199,650,585,205,659,596,23,53.59,0.649,2.8
2007,1,3,14,0,188,579,483,186,602,493,22,59.4,0.641,3
2007,1,3,15,0,162,438,328,152,488,336,21,67.83,0.649,3.3
2007,1,3,16,0,101,159,134,92,285,151,17,78.04,0.655,3.2
2007,1,3,17,0,1,0,1,4,5,4,15,89.4,0.661,3.5
2007,1,3,18,0,0,0,0,0,0,0,14,101.52,0.668,3.6
2007,1,3,19,0,0,0,0,0,0,0,13,114.13,0.677,3.7
2007,1,3,20,0,0,0,0,0,0,0,12,127.06,0.695,3.7
2007,1,3,21,0,0,0,0,0,0,0,11,140.18,0.704,3.8
2007,1,3,22,0,0,0,0,0,0,0,11,153.35,0.715,3.8
2007,1,3,23,0,0,0,0,0,0,0,10,166.21,0.721,3.9
2007,1,4,0,0,0,0,0,0,0,0,9,174.28,0.724,3.9
2007,1,4,1,0,0,0,0,0,0,0,9,164.51,0.726,3.9
2007,1,4,2,0,0,0,0,0,0,0,8,151.55,0.727,3.9
2007,1,4,3,0,0,0,0,0,0,0,8,138.37,0.736,3.8
2007,1,4,4,0,0,0,0,0,0,0,7,125.27,0.748,3.7
2007,1,4,5,0,0,0,0,0,0,0,6,112.37,0.759,3.6
2007,1,4,6,0,0,0,0,0,0,0,6,99.81,0.769,3.5
2007,1,4,7,0,10,0,10,12,29,13,8,87.76,0.784,3.3
2007,1,4,8,0,108,268,171,102,315,175,11,76.52,0.806,2.7
2007,1,4,9,0,158,491,354,157,501,357,16,66.5,0.834,2.5
2007,1,4,10,0,186,599,501,189,603,505,20,58.35,0.864,3.1
2007,1,4,11,0,205,654,599,205,654,599,21,52.96,0.899,3.1
2007,1,4,12,0,210,667,628,210,667,628,22,51.21,0.936,3
2007,1,4,13,0,203,647,589,203,647,589,22,53.46,0.971,2.9
2007,1,4,14,0,183,589,485,185,589,486,22,59.26,1,2.9
2007,1,4,15,0,162,444,331,151,477,332,20,67.69,1.012,2.9
2007,1,4,16,0,102,166,137,91,278,150,17,77.9,1.002,2.7
2007,1,4,17,0,1,0,1,4,6,4,14,89.26,0.974,3
2007,1,4,18,0,0,0,0,0,0,0,14,101.38,0.942,3.2
2007,1,4,19,0,0,0,0,0,0,0,13,114,0.908,3.4
2007,1,4,20,0,0,0,0,0,0,0,12,126.93,0.876,3.3
2007,1,4,21,0,0,0,0,0,0,0,11,140.05,0.848,3.2
2007,1,4,22,0,0,0,0,0,0,0,11,153.22,0.837,3.1
2007,1,4,23,0,0,0,0,0,0,0,10,166.07,0.834,3
2007,1,5,0,0,0,0,0,0,0,0,9,174.19,0.831,2.9
2007,1,5,1,0,0,0,0,0,0,0,9,164.56,0.83,2.8
2007,1,5,2,0,0,0,0,0,0,0,8,151.62,0.831,2.8
2007,1,5,3,0,0,0,0,0,0,0,8,138.44,0.819,3
2007,1,5,4,0,0,0,0,0,0,0,7,125.33,0.802,3.1
2007,1,5,5,0,0,0,0,0,0,0,7,112.42,0.785,3.2
2007,1,5,6,0,0,0,0,0,0,0,6,99.85,0.771,3.4
2007,1,5,7,0,9,0,9,12,28,13,8,87.8,0.761,3.4
2007,1,5,8,0,108,280,174,102,317,176,11,76.54,0.754,2.9
2007,1,5,9,0,158,491,354,157,503,358,16,66.49,0.779,2.5
2007,1,5,10,0,186,600,502,189,605,507,20,58.31,0.821,3.1
2007,1,5,11,0,204,646,594,205,655,601,22,52.89,0.873,3
2007,1,5,12,0,207,667,626,210,668,630,23,51.1,0.931,2.9
2007,1,5,13,0,203,648,591,203,648,591,23,53.33,0.988,2.8
2007,1,5,14,0,185,589,488,185,589,488,22,59.11,1.033,2.9
2007,1,5,15,0,151,478,334,151,478,334,21,67.54,1.044,2.9
2007,1,5,16,0,104,174,141,92,281,152,17,77.75,1.033,2.7
2007,1,5,17,0,1,0,1,5,8,5,15,89.11,1.009,2.9
2007,1,5,18,0,0,0,0,0,0,0,14,101.24,0.976,2.9
2007,1,5,19,0,0,0,0,0,0,0,13,113.86,0.937,2.9
2007,1,5,20,0,0,0,0,0,0,0,12,126.8,0.895,2.8
2007,1,5,21,0,0,0,0,0,0,0,11,139.92,0.857,2.8
2007,1,5,22,0,0,0,0,0,0,0,11,153.09,0.822,2.8
2007,1,5,23,0,0,0,0,0,0,0,10,165.93,0.792,2.9
2007,1,6,0,0,0,0,0,0,0,0,9,174.09,0.77,2.9
2007,1,6,1,0,0,0,0,0,0,0,9,164.6,0.758,3.1
2007,1,6,2,0,0,0,0,0,0,0,8,151.68,0.755,3.2
2007,1,6,3,0,0,0,0,0,0,0,8,138.51,0.751,3.3
2007,1,6,4,0,0,0,0,0,0,0,7,125.39,0.746,3.4
2007,1,6,5,0,0,0,0,0,0,0,7,112.48,0.736,3.3
2007,1,6,6,0,0,0,0,0,0,0,6,99.89,0.722,3.1
2007,1,6,7,0,9,0,9,12,28,13,8,87.82,0.712,2.9
2007,1,6,8,0,107,267,170,102,318,176,12,76.55,0.716,2.2
2007,1,6,9,0,161,476,351,158,504,359,16,66.48,0.748,1.8
2007,1,6,10,0,190,585,498,189,606,508,20,58.27,0.804,2.1
2007,1,6,11,0,209,628,589,206,656,602,22,52.8,0.873,1.9
2007,1,6,12,0,215,655,628,210,669,632,23,50.99,0.932,1.9
2007,1,6,13,0,214,603,576,204,649,593,23,53.19,0.966,1.9
2007,1,6,14,0,187,578,486,186,593,492,22,58.96,0.967,2
2007,1,6,15,0,167,426,331,152,484,339,21,67.39,0.932,2.1
2007,1,6,16,0,104,156,138,94,288,156,17,77.6,0.872,2.2
2007,1,6,17,0,1,0,1,5,10,5,15,88.97,0.801,2.5
2007,1,6,18,0,0,0,0,0,0,0,14,101.1,0.723,2.8
2007,1,6,19,0,0,0,0,0,0,0,13,113.72,0.65,3
2007,1,6,20,0,0,0,0,0,0,0,12,126.66,0.591,3.2
2007,1,6,21,0,0,0,0,0,0,0,11,139.79,0.558,3.4
2007,1,6,22,0,0,0,0,0,0,0,10,152.95,0.536,3.6
2007,1,6,23,0,0,0,0,0,0,0,9,165.78,0.52,3.7
2007,1,7,0,0,0,0,0,0,0,0,9,173.99,0.498,3.8
2007,1,7,1,0,0,0,0,0,0,0,8,164.64,0.467,3.8
2007,1,7,2,0,0,0,0,0,0,0,7,151.74,0.438,3.8
2007,1,7,3,0,0,0,0,0,0,0,6,138.57,0.4,3.7
2007,1,7,4,0,0,0,0,0,0,0,5,125.45,0.377,3.6
2007,1,7,5,0,0,0,0,0,0,0,5,112.52,0.366,3.4
2007,1,7,6,0,0,0,0,0,0,0,4,99.93,0.362,3.2
2007,1,7,7,0,6,0,6,13,31,14,6,87.85,0.354,2.9
2007,1,7,8,0,108,266,170,104,337,183,10,76.55,0.342,2.4
2007,1,7,9,0,160,477,351,161,530,373,14,66.46,0.325,2.2
2007,1,7,10,0,190,586,499,194,637,529,19,58.22,0.307,2.7
2007,1,7,11,0,203,649,597,211,692,630,21,52.72,0.293,2.8
2007,1,7,12,0,206,673,631,216,708,663,22,50.86,0.28,3
2007,1,7,13,0,201,655,595,210,691,626,22,53.04,0.271,3.2
2007,1,7,14,0,187,584,490,192,635,521,21,58.8,0.266,3.1
2007,1,7,15,0,164,456,341,158,524,361,19,67.23,0.27,2.9
2007,1,7,16,0,105,164,141,99,321,169,15,77.44,0.278,2.6
2007,1,7,17,0,1,0,1,7,13,7,13,88.82,0.288,2.8
2007,1,7,18,0,0,0,0,0,0,0,12,100.95,0.3,3
2007,1,7,19,0,0,0,0,0,0,0,11,113.58,0.314,3.1
2007,1,7,20,0,0,0,0,0,0,0,10,126.52,0.332,3.2
2007,1,7,21,0,0,0,0,0,0,0,9,139.65,0.341,3.1
2007,1,7,22,0,0,0,0,0,0,0,8,152.82,0.353,3
2007,1,7,23,0,0,0,0,0,0,0,8,165.64,0.37,2.9
2007,1,8,0,0,0,0,0,0,0,0,7,173.87,0.388,2.7
2007,1,8,1,0,0,0,0,0,0,0,6,164.68,0.401,2.5
2007,1,8,2,0,0,0,0,0,0,0,6,151.79,0.41,2.5
2007,1,8,3,0,0,0,0,0,0,0,5,138.62,0.42,2.6
2007,1,8,4,0,0,0,0,0,0,0,5,125.5,0.433,2.6
2007,1,8,5,0,0,0,0,0,0,0,4,112.57,0.446,2.5
2007,1,8,6,0,0,0,0,0,0,0,4,99.96,0.459,2.3
2007,1,8,7,0,9,0,9,12,29,13,7,87.86,0.47,2.2
2007,1,8,8,0,113,202,160,103,329,180,10,76.55,0.475,1.6
2007,1,8,9,0,168,467,355,160,520,368,14,66.43,0.47,1
2007,1,8,10,0,241,457,483,192,625,522,18,58.16,0.466,0.8
2007,1,8,11,0,304,206,430,209,679,621,20,52.62,0.459,0.6
2007,1,8,12,0,291,518,619,214,695,655,21,50.73,0.443,0.7
2007,1,8,13,0,308,194,426,209,678,618,21,52.89,0.43,0.8
2007,1,8,14,0,263,95,313,191,623,515,20,58.64,0.417,1
2007,1,8,15,0,198,262,301,157,513,357,19,67.07,0.422,1.1
2007,1,8,16,0,69,0,69,99,314,168,15,77.28,0.432,1.1
2007,1,8,17,0,1,0,1,7,15,8,13,88.66,0.45,1.2
2007,1,8,18,0,0,0,0,0,0,0,13,100.81,0.464,1.2
2007,1,8,19,0,0,0,0,0,0,0,12,113.44,0.479,1.2
2007,1,8,20,0,0,0,0,0,0,0,12,126.39,0.503,1.1
2007,1,8,21,0,0,0,0,0,0,0,11,139.52,0.525,1
2007,1,8,22,0,0,0,0,0,0,0,11,152.68,0.555,1.1
2007,1,8,23,0,0,0,0,0,0,0,11,165.49,0.583,1.2
2007,1,9,0,0,0,0,0,0,0,0,10,173.75,0.601,1.4
2007,1,9,1,0,0,0,0,0,0,0,10,164.7,0.622,1.5
2007,1,9,2,0,0,0,0,0,0,0,9,151.84,0.642,1.6
2007,1,9,3,0,0,0,0,0,0,0,9,138.67,0.666,1.5
2007,1,9,4,0,0,0,0,0,0,0,8,125.54,0.696,1.5
2007,1,9,5,0,0,0,0,0,0,0,8,112.6,0.726,1.3
2007,1,9,6,0,0,0,0,0,0,0,8,99.99,0.746,0.9
2007,1,9,7,0,6,0,6,12,27,13,10,87.87,0.757,0.5
2007,1,9,8,0,112,181,155,102,317,176,13,76.54,0.752,0
2007,1,9,9,0,173,421,342,158,506,361,16,66.39,0.737,0.3
2007,1,9,10,0,233,412,451,190,611,514,21,58.09,0.724,0.8
2007,1,9,11,0,286,375,515,207,666,613,23,52.52,0.686,0.9
2007,1,9,12,0,272,538,614,213,684,647,24,50.6,0.656,0.8
2007,1,9,13,0,303,314,494,207,667,611,24,52.73,0.644,0.8
2007,1,9,14,0,270,218,384,189,611,509,23,58.47,0.661,0.7
2007,1,9,15,0,185,363,328,156,501,353,21,66.9,0.692,0.7
2007,1,9,16,0,104,200,149,98,304,166,18,77.12,0.728,0.7
2007,1,9,17,0,1,0,1,8,16,8,15,88.51,0.752,0.7
2007,1,9,18,0,0,0,0,0,0,0,14,100.66,0.763,0.7
2007,1,9,19,0,0,0,0,0,0,0,14,113.3,0.765,1
2007,1,9,20,0,0,0,0,0,0,0,13,126.25,0.763,1.1
2007,1,9,21,0,0,0,0,0,0,0,12,139.38,0.768,1.3
2007,1,9,22,0,0,0,0,0,0,0,12,152.54,0.772,1.4
2007,1,9,23,0,0,0,0,0,0,0,11,165.34,0.772,1.6
2007,1,10,0,0,0,0,0,0,0,0,11,173.61,0.771,1.7
2007,1,10,1,0,0,0,0,0,0,0,10,164.72,0.776,1.7
2007,1,10,2,0,0,0,0,0,0,0,9,151.89,0.777,1.7
2007,1,10,3,0,0,0,0,0,0,0,9,138.72,0.766,1.6
2007,1,10,4,0,0,0,0,0,0,0,8,125.59,0.754,1.4
2007,1,10,5,0,0,0,0,0,0,0,8,112.64,0.737,1.3
2007,1,10,6,0,0,0,0,0,0,0,7,100.01,0.707,1.3
2007,1,10,7,0,6,0,6,12,27,13,10,87.88,0.67,1.5
2007,1,10,8,0,109,243,166,102,321,177,14,76.52,0.636,1.5
2007,1,10,9,0,170,416,337,159,513,365,17,66.35,0.609,1.2
2007,1,10,10,0,207,523,485,191,619,520,21,58.01,0.586,1.3
2007,1,10,11,0,228,582,584,209,674,620,23,52.41,0.565,1.4
2007,1,10,12,0,212,659,632,214,691,654,24,50.45,0.548,1.6
2007,1,10,13,0,202,659,603,208,674,619,24,52.56,0.534,1.8
2007,1,10,14,0,191,591,502,191,620,517,23,58.3,0.52,2.2
2007,1,10,15,0,172,424,340,158,512,360,22,66.73,0.518,2.6
2007,1,10,16,0,108,164,146,100,317,172,18,76.96,0.513,2.8
2007,1,10,17,0,2,0,2,9,19,10,15,88.35,0.509,3.2
2007,1,10,18,0,0,0,0,0,0,0,14,100.51,0.503,3.4
2007,1,10,19,0,0,0,0,0,0,0,13,113.15,0.495,3.5
2007,1,10,20,0,0,0,0,0,0,0,12,126.11,0.482,3.5
2007,1,10,21,0,0,0,0,0,0,0,11,139.25,0.467,3.3
2007,1,10,22,0,0,0,0,0,0,0,10,152.41,0.452,3.2
2007,1,10,23,0,0,0,0,0,0,0,10,165.18,0.441,3.1
2007,1,11,0,0,0,0,0,0,0,0,9,173.47,0.436,3
2007,1,11,1,0,0,0,0,0,0,0,8,164.74,0.434,2.8
2007,1,11,2,0,0,0,0,0,0,0,8,151.93,0.429,2.9
2007,1,11,3,0,0,0,0,0,0,0,7,138.76,0.417,3
2007,1,11,4,0,0,0,0,0,0,0,6,125.62,0.41,3
2007,1,11,5,0,0,0,0,0,0,0,6,112.67,0.404,3
2007,1,11,6,0,0,0,0,0,0,0,6,100.03,0.402,3
2007,1,11,7,0,8,0,8,12,29,13,8,87.88,0.402,3
2007,1,11,8,0,108,264,170,104,334,182,11,76.5,0.398,2.5
2007,1,11,9,0,165,457,349,161,526,372,16,66.31,0.404,2.2
2007,1,11,10,0,199,553,493,193,631,529,20,57.93,0.41,2.5
2007,1,11,11,0,227,575,579,210,684,629,23,52.29,0.417,2.7
2007,1,11,12,0,261,512,589,215,700,663,24,50.3,0.426,3
2007,1,11,13,0,233,606,603,210,682,627,24,52.39,0.433,3.3
2007,1,11,14,0,217,517,491,192,628,524,23,58.12,0.436,3.5
2007,1,11,15,0,189,351,329,159,521,367,21,66.55,0.423,3.5
